id,name,url
336,Chronic Kidney Disease,https://archive.ics.uci.edu/static/public/336/data.csv
342,Mice Protein Expression,https://archive.ics.uci.edu/static/public/342/data.csv
350,Default of Credit Card Clients,https://archive.ics.uci.edu/static/public/350/data.csv
352,Online Retail,https://archive.ics.uci.edu/static/public/352/data.csv
357,Occupancy Detection ,https://archive.ics.uci.edu/static/public/357/data.csv
360,Air Quality,https://archive.ics.uci.edu/static/public/360/data.csv
365,Polish Companies Bankruptcy,https://archive.ics.uci.edu/static/public/365/data.csv
367,Dota2 Games Results,https://archive.ics.uci.edu/static/public/367/data.csv
368,Facebook Metrics,https://archive.ics.uci.edu/static/public/368/data.csv
372,HTRU2,https://archive.ics.uci.edu/static/public/372/data.csv
373,Drug Consumption (Quantified),https://archive.ics.uci.edu/static/public/373/data.csv
374,Appliances Energy Prediction,https://archive.ics.uci.edu/static/public/374/data.csv
379,Website Phishing,https://archive.ics.uci.edu/static/public/379/data.csv
380,YouTube Spam Collection,https://archive.ics.uci.edu/static/public/380/data.csv
381,Beijing PM2.5,https://archive.ics.uci.edu/static/public/381/data.csv
383,Cervical Cancer (Risk Factors),https://archive.ics.uci.edu/static/public/383/data.csv
390,Stock Portfolio Performance,https://archive.ics.uci.edu/static/public/390/data.csv
396,Sales Transactions Weekly,https://archive.ics.uci.edu/static/public/396/data.csv
409,Daily Demand Forecasting Orders,https://archive.ics.uci.edu/static/public/409/data.csv
419,Autistic Spectrum Disorder Screening Data for Children  ,https://archive.ics.uci.edu/static/public/419/data.csv
426,Autism Screening Adult,https://archive.ics.uci.edu/static/public/426/data.csv
445,Absenteeism at work,https://archive.ics.uci.edu/static/public/445/data.csv
451,Breast Cancer Coimbra,https://archive.ics.uci.edu/static/public/451/data.csv
461,Drug Reviews (Druglib.com),https://archive.ics.uci.edu/static/public/461/data.csv
462,Drug Reviews (Drugs.com),https://archive.ics.uci.edu/static/public/462/data.csv
464,Superconductivty Data,https://archive.ics.uci.edu/static/public/464/data.csv
467,Student Academics Performance,https://archive.ics.uci.edu/static/public/467/data.csv
468,Online Shoppers Purchasing Intention Dataset,https://archive.ics.uci.edu/static/public/468/data.csv
471,Electrical Grid Stability Simulated Data ,https://archive.ics.uci.edu/static/public/471/data.csv
477,Real Estate Valuation,https://archive.ics.uci.edu/static/public/477/data.csv
484,Travel Reviews,https://archive.ics.uci.edu/static/public/484/data.csv
485,Travel Review Ratings,https://archive.ics.uci.edu/static/public/485/data.csv
488,Facebook Live Sellers in Thailand,https://archive.ics.uci.edu/static/public/488/data.csv
492,Metro Interstate Traffic Volume,https://archive.ics.uci.edu/static/public/492/data.csv
503,Hepatitis C Virus (HCV) for Egyptian patients,https://archive.ics.uci.edu/static/public/503/data.csv
519,Heart Failure Clinical Records,https://archive.ics.uci.edu/static/public/519/data.csv
529,Early Stage Diabetes Risk Prediction,https://archive.ics.uci.edu/static/public/529/data.csv
536,Pedestrians in Traffic,https://archive.ics.uci.edu/static/public/536/data.csv
537,Cervical Cancer Behavior Risk,https://archive.ics.uci.edu/static/public/537/data.csv
544,Estimation of Obesity Levels Based On Eating Habits and Physical Condition ,https://archive.ics.uci.edu/static/public/544/data.csv
545,Rice (Cammeo and Osmancik),https://archive.ics.uci.edu/static/public/545/data.csv
547,Algerian Forest Fires,https://archive.ics.uci.edu/static/public/547/data.csv
551,Gas Turbine CO and NOx Emission Data Set,https://archive.ics.uci.edu/static/public/551/data.csv
555,Apartment for Rent Classified,https://archive.ics.uci.edu/static/public/555/data.csv
